cid,text,time,author,channel,votes,time_parsed
Ugw63GLDLaLgIrtKG-t4AaABAg,not a fan climbing ladder,4 days ago,@diegolara8942,UCQ-NWvsFffdJ8aTQFGR0igQ,0,1741453687.301914
UgxWt7oPU1_mT8QFqB94AaABAg,"The way he says ""thei fuq"" gets me every time xd",4 days ago,@KrizztianRut,UCwHG2spFB0e1PFfOZq55Tig,4,1741453687.302511
Ugwcdl4wreLfWkWFzOF4AaABAg,le Louis Sixteen il ma terminé mdrrr Amine et Poki les Goats !!!!,4 days ago (edited),@Go-zen,UCsZuJZGXdAm03pZ8ZE0txfw,2,1741453687.303114
UgwZ6_NqKEL-zjiG-ct4AaABAg,merci pour les travaux t'es un hagar amine,4 days ago,@ktm9871,UC0ksCeGANzUn9TvbuhCfVPA,0,1741453687.304029
UgyEQdbQ2DyD7O7smTB4AaABAg,Elle a appris SINJ trop vite😅😅😂,4 days ago,@eaver4283,UCoFWzl1RqdOrr9x4py4TbUQ,1,1741453687.304724
UgzeCSavtx-Wc0A3Bsl4AaABAg,"So chat, are they dating or flirting?",4 days ago,@perotin211,UCBCi6cxGkZFUK2TyzS2G90g,0,1741453687.305345
UgwqI7PMhZ_TETCrr9h4AaABAg,"That photo in ur cupboard is of a Hindu God - Krishna, when he was small....",4 days ago,@bhavanatm1533,UCtKztI8xTrKzHtraMj61Q0A,0,1741453687.305951
UgyOEVogtov7jb4RXI54AaABAg,"that poster on war door is Indian GOD, his name is  Lord Krishna 💙",4 days ago,@SRUJAN06,UCeHoiYGShy2Km_kbgUCfOLA,1,1741453687.306567
Ugw16JKfKCacNv0cWqZ4AaABAg,"- I drink mocha 
- you drink chorba 🤣🤣",4 days ago,@ktm9871,UC0ksCeGANzUn9TvbuhCfVPA,3,1741453687.307175
UgxtxE59QkF8Z5s-HQd4AaABAg,😂😂😂😂😂😂😂😂😂😂😂,4 days ago,@sionkim7316,UCykpnczk_P7DeTC3ytQeegA,0,1741453687.307765
UgztBAz9m0PCrO41leN4AaABAg,i love this duoooo sm❤❤,4 days ago,@ft.wonwooo,UCUy-ANvZATqGusBnJ3AU5FQ,1,1741453687.308385
